"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-09-30,73111,"34453","FL","Homosassa Springs","Citrus","Inverness",7000,103200,0.015748031496063,0.0541368743615935,0.176738882554162,0.0628182619649353,-0.035281678958507,"2006-07","2006-Q3",149100,-0.30784708249497,"2004-11"
2016-09-30,97153,"93210","CA","Fresno","Fresno","Coalinga",7001,147000,-0.00675675675675676,-0.0101010101010101,-0.0140845070422535,0.0492329003825354,-0.0420136087554853,"2006-07","2006-Q3",226400,-0.350706713780919,"2004-09"
2016-09-30,96278,"91024","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Sierra Madre",7002,922600,0.00119370591427021,0.006216599411059,0.0641291810841984,0.0722263907819505,0.0174811390593335,"2016-09","2016-Q3",922600,0,"2016-09"
2016-09-30,97777,"94571","CA","Vallejo","Solano","Rio Vista",7003,318700,0.00283196979232222,0.0111040609137056,0.0829085966700646,0.117220108507,-0.0199117879692808,"2006-04","2006-Q2",404300,-0.211723967350977,"2004-11"
2016-09-30,88038,"68508","NE","Lincoln","Lancaster","Lincoln",7004,89800,0.00447427293064877,0.00672645739910314,0.0627218934911243,0.0352991966289471,,"2016-09","2016-Q3",89800,0,"2016-09"
2016-09-30,89737,"72745","AR","Fayetteville","Benton","Lowell",7005,150000,0.00603621730382294,0.0183299389002037,0.0877447425670776,0.0514874186676078,0.0025692696087154,"2016-09","2016-Q3",150000,0,"2016-09"
2016-09-30,92111,"77808","TX","College Station","Brazos","Bryan",7006,247000,0.00243506493506494,-0.0036304961678096,0.0739130434782609,0.0400163888276452,0.0355946978349202,"2016-06","2016-Q2",247900,-0.0036304961678096,"2016-05"
2016-09-30,60268,"06371","CT","New London","New London","Old Lyme",7007,377500,-0.00132275132275132,-0.003168735146554,0.0158772874058127,0.00500132506018969,-0.0157392115703391,"2006-10","2006-Q4",443300,-0.148432212948342,"2004-12"
2016-09-30,86336,"64089","MO","Kansas City","Clay","Smithville",7008,183000,0.00494233937397035,0.0138504155124654,0.0445205479452055,0.0209240369603469,0.00390783151968366,"2016-09","2016-Q3",183000,0,"2016-09"
2016-09-30,64664,"16635","PA","Altoona","Blair","Allegheny Township",7009,158900,0.00824873096446701,0.011457670273711,0.0996539792387543,0.0481582368918458,0.0245325113727226,"2016-09","2016-Q3",158900,0,"2016-09"
2016-09-30,93439,"80513","CO","Fort Collins","Larimer","Berthoud",7010,379300,0.00931346460883449,0.028470715835141,0.0902558206381144,0.0841004647020969,0.0336217362297797,"2016-09","2016-Q3",379300,0,"2016-09"
2016-09-30,58991,"02917","RI","Providence","Providence","Smithfield",7011,260100,0.00970496894409938,0.0144305772230889,0.0556006493506494,0.0286870744584644,-0.0167293717663124,"2006-11","2006-Q4",310500,-0.16231884057971,"2003-11"
2016-09-30,73374,"35204","AL","Birmingham","Jefferson","Birmingham",7012,51600,0.00389105058365759,-0.00769230769230769,0.0177514792899408,-0.0220992534135498,,"2011-02","2011-Q1",59100,-0.126903553299492,
2016-09-30,59266,"03874","NH","Boston","Rockingham","Seabrook",7013,304300,0.0076158940397351,0.0177257525083612,0.0382122142613443,0.0410112219083241,-0.00492473345566247,"2006-05","2006-Q2",324800,-0.063115763546798,"2004-10"
2016-09-30,88435,"70047","LA","New Orleans","Saint Charles","Destrehan",7014,198000,0.00354789660415611,0.00202429149797571,-0.0548926014319809,0.0126914891402226,0.00323877158791253,"2015-06","2015-Q2",219200,-0.0967153284671533,"2014-04"
2016-09-30,65409,"18252","PA","Pottsville","Schuylkill","Tamaqua",7015,65200,-0.00305810397553517,0.00617283950617284,0.0533117932148627,0.00785025721001964,0.00536997736494715,"2008-02","2008-Q1",68300,-0.0453879941434846,"2007-07"
2016-09-30,83902,"59044","MT","Billings","Yellowstone","Laurel",7016,186700,-0.00160427807486631,-0.00426666666666667,0.0729885057471264,0.0347320899426702,0.0206408971434657,"2009-09","2009-Q3",189600,-0.015295358649789,"2009-08"
2016-09-30,72023,"32501","FL","Pensacola","Escambia","Pensacola",7017,91400,0.00994475138121547,0.0493685419058553,0.0985576923076923,0.0199600740213843,-0.0154506397757816,"2006-07","2006-Q3",108100,-0.154486586493987,"2005-03"
2016-09-30,73039,"34217","FL","North Port-Sarasota-Bradenton","Manatee","Holmes Beach",7018,536000,0.0105580693815988,0.0428015564202335,0.126050420168067,0.0845527200506717,0.0100903402362211,"2005-12","2005-Q4",540700,-0.00869243573145922,"2005-08"
2016-09-30,62544,"12414","NY",,"Greene","Town of Catskill",7019,149300,0.00878378378378378,0.021203830369357,0.0551236749116608,0.0254035261430912,-0.00867999056913926,"2007-01","2007-Q1",169000,-0.116568047337278,"2006-02"
2016-09-30,100027,"98930","WA","Yakima","Yakima","Grandview",7020,151700,0.0133600534402138,0.0404663923182442,0.15361216730038,0.0464340336942082,0.02622565742379,"2016-09","2016-Q3",151700,0,"2016-09"
2016-09-30,88881,"71047","LA","Shreveport","Caddo","Keithville",7021,111900,-0.00444839857651246,0,0.0759615384615385,0.0223332197208417,,"2016-08","2016-Q3",112400,-0.00444839857651246,"2016-06"
2016-09-30,99083,"97113","OR","Portland","Washington","Cornelius",7022,263800,0.010727969348659,0.0398108001576665,0.162114537444934,0.100536745854046,0.0167161598876162,"2016-09","2016-Q3",263800,0,"2016-09"
2016-09-30,77443,"45106","OH","Cincinnati","Clermont","Bethel",7023,127600,0.00314465408805032,0.00710339384372534,0.0668896321070234,0.02642336688175,-0.00062480676142973,"2006-10","2006-Q4",129100,-0.0116189000774593,"2006-09"
2016-09-30,78133,"46394","IN","Chicago","Lake","Whiting",7024,105100,0.00190657769304099,-0.00661625708884688,0.0184108527131783,0.0106051604473847,-0.0187494808911864,"2008-05","2008-Q2",139700,-0.247673586256263,
2016-09-30,85925,"63107","MO","St. Louis","Saint Louis City","Saint Louis",7025,65900,0.0476947535771065,0.156140350877193,0.269749518304432,-0.00330536080408406,-0.00150491903453387,"2012-01","2012-Q1",70400,-0.0639204545454545,"2011-07"
2016-09-30,88975,"71241","LA","Monroe","Union","Farmerville",7026,136900,0.000730994152046784,-0.0172290021536253,0.0571428571428571,,,"2016-06","2016-Q2",139300,-0.0172290021536253,"2016-05"
2016-09-30,84402,"60152","IL","Chicago","McHenry","Marengo",7027,174300,-0.00114613180515759,-0.00683760683760684,0.0240893066980024,0.0107819288324222,-0.0276025564272251,"2007-07","2007-Q3",239800,-0.273144286905755,"2001-04"
2016-09-30,63518,"14425","NY","Rochester","Ontario","Farmington",7028,153500,0.00854139290407359,0.0267558528428094,0.0378634212305612,0.0303277215763613,0.0233176561126303,"2016-09","2016-Q3",153500,0,"2016-09"
2016-09-30,69979,"28469","NC","Myrtle Beach","Brunswick","Ocean Isle Beach",7029,290200,0.00311095748358106,0.00693962526023595,-0.0307281229124916,0.000137893000279332,-0.0415691200198773,"2007-05","2007-Q2",492600,-0.410881039382866,"2004-08"
2016-09-30,64625,"16511","PA","Erie","Erie","Lawrence Park",7030,115800,0.00346620450606586,0.00783289817232376,0.0441839495040577,0.0233065934580254,0.0174544140851278,"2016-09","2016-Q3",115800,0,"2016-09"
2016-09-30,61221,"08863","NJ","New York","Middlesex","Woodbridge Township",7031,263900,0.00342205323193916,-0.000378787878787879,0.0134408602150538,0.0162208120092679,-0.0204291465544895,"2007-04","2007-Q2",330000,-0.20030303030303,"2004-09"
2016-09-30,58216,"01030","MA","Springfield","Hampden","Agawam",7032,228800,0.0079295154185022,0.0237136465324385,0.03905540417802,0.0145093915109229,-0.00624832515163176,"2006-04","2006-Q2",245000,-0.0661224489795918,"2005-06"
2016-09-30,60746,"07660","NJ","New York","Bergen","Ridgefield Park",7033,308000,-0.00194426441996111,-0.0102827763496144,-0.00259067357512953,0.0175786061405274,-0.0246457286323076,"2007-01","2007-Q1",401800,-0.233449477351916,"2004-01"
2016-09-30,71824,"32148","FL","Palatka","Putnam","Interlachen",7034,82800,-0.00600240096038415,0.00975609756097561,0.0402010050251256,0.0102087384109963,-0.0373052146608414,"2006-10","2006-Q4",121300,-0.317394888705688,"2004-04"
