,Location,Zhvi
2642,"38.27, -104.62",86300
2643,"43.41, -83.94",121600
2644,"36.06, -79.39",136800
2645,"41.47, -71.3",415700
2646,"39.42, -86.42",128200
2647,"36.09, -79.27",165600
2648,"42.68, -89.01",149200
2649,"33.37, -84.78",199000
2650,"34.72, -92.35",63200
2651,"32.77, -117.1",300700
2652,"40.71, -73.35",308500
2653,"26.11, -80.39",308300
2654,"28.17, -80.6",268800
2655,"33.92, -116.83",218900
2656,"40.33, -111.57",272000
2657,"39.74, -121.61",227700
2658,"43.56, -116.21",164200
2659,"26.37, -80.1",516400
2660,"34.15, -118.52",611600
2661,"45.53, -122.68",389000
2662,"40.75, -74.11",314300
2663,"39.77, -86.14",116100
2664,"29.67, -82.33",152100
2665,"35.23, -111.72",327600
2666,"44.48, -73.22",314300
2667,"40.71, -73.55",438200
2668,"32.75, -116.99",579300
2669,"40.09, -74.04",388000
2670,"32.08, -81.1",84700
2671,"42.96, -85.65",271900
2672,"39.98, -82.98",242500
2673,"40.06, -75.4",495400
2674,"39.76, -104.87",255900
2675,"33.44, -112.13",83600
2676,"42.26, -71.11",364900
2677,"44.96, -93.26",197300
2678,"42.76, -78.74",220200
2679,"28.44, -82.56",115600
2680,"39.76, -104.87",405000
2681,"33.52, -86.79",58700
2682,"30.63, -87.04",165800
2683,"33.0, -80.1",147300
2684,"38.82, -77.08",422500
2685,"41.44, -82.18",62800
2686,"38.95, -85.88",114300
2687,"45.68, -122.57",257900
2688,"43.06, -87.96",136600
2689,"42.16, -121.68",153400
2690,"39.77, -86.14",87800
2691,"38.96, -95.25",139500
2692,"41.66, -83.58",56000
2693,"34.08, -118.32",758100
2694,"34.28, -118.55",725900
2695,"44.92, -93.4",220600
2696,"40.68, -75.18",165100
2697,"43.07, -89.38",300200
2698,"35.11, -106.62",215100
2699,"35.2, -101.81",101300
2700,"38.02, -122.54",837700
2701,"42.5, -83.15",209900
2702,"39.77, -84.19",137100
2703,"32.29, -110.83",351200
2704,"32.49, -96.99",223300
2705,"35.05, -82.09",145300
2706,"42.31, -88.43",174400
2707,"39.45, -121.39",185000
2708,"46.98, -122.74",241200
2709,"36.33, -86.7",196500
2710,"40.85, -74.82",259200
2711,"40.15, -75.22",394300
2712,"19.63, -155.99",462400
2713,"29.99, -90.17",292700
2714,"39.7, -86.38",152200
2715,"33.86, -118.33",625700
2716,"37.68, -97.34",84700
2717,"39.22, -76.61",140700
2718,"39.13, -76.69",335500
2719,"34.82, -82.58",122700
2720,"39.77, -86.14",128000
2721,"39.95, -75.16",101900
2722,"38.96, -76.85",274200
2723,"42.86, -85.86",201300
2724,"42.58, -87.85",160400
2725,"42.18, -71.19",418800
2726,"44.52, -122.81",173900
2727,"39.77, -84.19",74000
2728,"30.45, -84.28",259500
2729,"43.09, -77.51",247500
2730,"45.4, -122.61",334400
2731,"41.29, -72.86",184400
2732,"33.16, -111.56",173600
2733,"34.41, -119.7",829900
2734,"33.69, -112.0",307100
2735,"37.55, -77.46",210200
2736,"41.58, -88.04",175700
2737,"27.27, -80.35",227700
2738,"34.83, -82.37",171900
2739,"27.98, -80.66",150800
2740,"32.89, -117.07",736700
2741,"37.67, -121.93",889000
2742,"30.53, -84.1",232700
2743,"34.97, -85.28",79900
2744,"39.84, -74.95",270600
2745,"42.39, -83.05",43700
2746,"30.63, -87.04",127800
2747,"41.57, -83.65",157000
2748,"47.94, -122.0",409700
2749,"36.09, -115.38",363400
2750,"34.1, -118.05",732300
2751,"29.89, -81.31",258600
2752,"27.94, -82.25",188000
2753,"36.13, -96.13",122500
2754,"34.06, -84.27",416000
2755,"47.69, -117.38",113500
2756,"26.74, -80.12",137700
2757,"32.83, -97.17",164300
2758,"42.12, -80.08",149800
2759,"43.06, -87.96",56300
2760,"42.96, -85.65",83500
2761,"42.8, -73.92",168300
2762,"40.48, -112.07",299600
2763,"36.74, -119.75",114500
2764,"34.03, -118.43",1268500
2765,"47.63, -122.37",761400
2766,"29.02, -80.92",193900
2767,"41.81, -71.46",209000
2768,"43.1, -76.21",141500
2769,"26.63, -81.85",135000
2770,"39.77, -86.14",35600
2771,"31.44, -100.45",110700
2772,"36.84, -76.28",144900
2773,"39.01, -94.28",156000
2774,"34.51, -82.64",126700
2775,"39.95, -75.16",236200
2776,"47.4, -121.99",407400
2777,"41.83, -87.68",268900
2778,"39.94, -75.27",123400
2779,"42.49, -83.02",68200
2780,"43.16, -77.61",95000
2781,"40.72, -74.17",207700
2782,"33.14, -96.81",384600
2783,"39.98, -82.98",221600
2784,"40.22, -74.76",255200
2785,"29.76, -95.38",507200
2786,"42.35, -71.06",405200
2787,"42.8, -73.92",227100
2788,"39.77, -86.14",121300
2789,"30.33, -81.65",222900
2790,"40.78, -73.24",258900
2791,"39.38, -119.87",585800
2792,"39.09, -94.58",113000
2793,"37.33, -121.83",570200
2794,"42.02, -87.8",271600
2795,"41.83, -87.68",321700
2796,"34.44, -114.24",238400
2797,"33.44, -84.46",239400
2798,"29.05, -81.31",151200
2799,"42.17, -71.05",290400
2800,"39.32, -76.5",198000
2801,"41.85, -88.1",370700
2802,"38.86, -104.76",163200
2803,"41.26, -96.01",153900
2804,"25.77, -80.2",200100
2805,"42.96, -85.65",104500
2806,"36.24, -115.23",220100
2807,"26.14, -81.79",292400
2808,"33.75, -117.85",424800
2809,"42.35, -71.06",747600
2810,"26.37, -80.1",124400
2811,"39.08, -84.5",131900
2812,"32.77, -117.18",517500
2813,"40.41, -74.23",344200
2814,"42.38, -71.24",491800
2815,"45.46, -122.55",258200
2816,"26.14, -81.79",277900
2817,"39.76, -104.87",320300
2818,"39.0, -77.4",348600
2819,"37.8, -122.21",785400
2820,"39.46, -76.27",240000
2821,"38.63, -90.24",136400
2822,"42.96, -85.65",190300
2823,"26.95, -82.35",226600
2824,"40.94, -73.86",400600
2825,"25.77, -80.2",744800
2826,"44.81, -92.92",231200
2827,"40.86, -74.15",277800
2828,"29.53, -95.11",144900
2829,"44.94, -93.1",300800
2830,"41.07, -85.13",145200
2831,"35.1, -90.0",152400
2832,"41.26, -96.01",214600
2833,"36.19, -115.31",269400
2834,"39.17, -78.17",215400
2835,"21.4, -157.96",646600
2836,"44.52, -87.98",108500
2837,"44.72, -93.43",311900
2838,"40.04, -86.13",248000
2839,"30.7, -97.73",296200
2840,"37.29, -120.48",214700
2841,"40.76, -73.52",416500
2842,"35.45, -120.71",481600
2843,"40.02, -105.25",748300
2844,"38.8, -76.99",223200
2845,"41.68, -85.96",81800
2846,"29.89, -81.31",196600
2847,"30.26, -97.74",323200
2848,"42.94, -74.19",105000
2849,"38.61, -120.97",412800
2850,"28.23, -82.17",94800
2851,"43.24, -123.48",195500
2852,"41.8, -87.92",350500
2853,"40.66, -111.93",203300
2854,"42.12, -72.65",206100
2855,"26.29, -98.16",126000
2856,"39.99, -105.09",400900
2857,"39.38, -119.67",356500
2858,"37.01, -119.94",164200
2859,"32.44, -97.78",208000
2860,"38.87, -77.1",877200
2861,"45.61, -122.74",334400
2862,"35.12, -118.51",236800
2863,"33.93, -118.0",485400
2864,"33.94, -118.24",299800
2865,"25.77, -80.2",309900
2866,"42.49, -83.02",51200
2867,"42.38, -83.1",31300
2868,"40.85, -73.21",437900
2869,"41.51, -87.98",256900
2870,"43.66, -116.63",124800
2871,"42.41, -71.16",607600
2872,"41.56, -87.54",107400
2873,"47.5, -122.0",617500
2874,"32.91, -96.62",148000
2875,"37.68, -97.34",139500
2876,"39.77, -84.19",130400
2877,"38.95, -76.95",290200
2878,"34.0, -81.03",180000
2879,"40.93, -74.11",384700
2880,"36.07, -79.82",175900
2881,"36.49, -86.87",143800
2882,"37.01, -93.2",207800
2883,"42.58, -87.85",122200
2884,"44.84, -123.08",255900
2885,"28.3, -81.41",169800
2886,"29.45, -98.5",84600
2887,"39.59, -105.01",397900
2888,"28.3, -81.41",154600
2889,"30.84, -83.27",69100
2890,"38.32, -75.21",213200
2891,"43.1, -89.5",342400
2892,"36.62, -121.82",458300
2893,"44.96, -93.26",236100
2894,"37.25, -122.06",2321300
2895,"34.11, -118.26",825700
2896,"42.25, -83.21",112700
2897,"38.88, -77.17",472200
2898,"42.18, -87.8",507300
2899,"33.44, -84.46",195300
2900,"40.76, -80.32",125100
2901,"41.79, -88.01",322400
2902,"34.93, -88.51",117400
2903,"28.5, -81.37",203000
2904,"40.34, -76.42",133500
2905,"32.72, -80.07",420000
2906,"34.72, -92.35",153800
2907,"42.34, -88.29",155300
2908,"38.86, -86.49",86000
2909,"30.42, -86.61",169000
2910,"36.29, -82.47",137100
2911,"29.76, -95.38",146200
2912,"41.67, -72.78",125300
2913,"44.96, -93.26",181400
2914,"44.96, -93.26",239000
2915,"35.36, -79.13",141600
2916,"32.79, -96.76",154900
2917,"32.51, -94.76",130500
2918,"40.1, -75.15",269900
2919,"42.16, -88.42",231000
2920,"39.0, -77.4",463200
2921,"34.43, -118.51",491900
2922,"35.91, -94.97",111400
2923,"42.78, -71.2",280100
2924,"26.74, -80.12",142700
2925,"32.21, -98.21",146800
2926,"27.98, -80.66",101500
2927,"29.57, -90.7",148500
2928,"43.06, -87.96",132000
2929,"38.04, -84.45",129400
2930,"40.62, -75.36",132600
2931,"36.0, -114.96",250700
2932,"39.77, -105.09",346200
2933,"31.57, -84.17",55800
2934,"32.79, -96.76",407700
2935,"45.45, -122.79",362100
2936,"42.03, -87.73",292300
2937,"34.23, -118.51",632400
2938,"41.83, -87.68",137600
2939,"40.59, -112.03",254000
2940,"40.33, -75.92",66800
2941,"29.66, -95.15",121100
2942,"34.14, -117.51",582300
2943,"33.78, -84.34",631800
2944,"41.55, -73.03",114900
2945,"26.02, -80.16",231700
2946,"42.2, -85.59",155000
2947,"41.28, -84.36",97700
2948,"28.04, -81.96",155600
2949,"34.08, -118.09",578500
2950,"32.32, -90.2",60600
2951,"43.16, -77.61",133500
2952,"42.62, -83.02",162600
2953,"34.14, -118.46",1054000
2954,"35.16, -120.43",655800
2955,"38.82, -77.08",421400
2956,"44.62, -123.13",253700
2957,"33.47, -112.39",314500
2958,"40.31, -79.38",123600
2959,"36.17, -86.78",548500
2960,"35.84, -79.03",386200
2961,"41.7, -71.42",187600
2962,"40.71, -80.1",282900
2963,"39.92, -85.36",61800
2964,"27.49, -81.45",82600
2965,"26.23, -80.13",319400
2966,"35.0, -80.94",197000
2967,"35.97, -83.94",113700
2968,"33.36, -79.29",137000
2969,"37.97, -121.32",206500
2970,"32.42, -90.13",161200
2971,"42.66, -73.79",182000
2972,"46.94, -123.04",280800
2973,"39.54, -119.84",248300
2974,"27.64, -80.39",115800
2975,"40.22, -74.76",160600
2976,"41.13, -73.28",619500
2977,"34.15, -118.54",891300
2978,"30.21, -92.02",195300
2979,"38.02, -121.3",206100
2980,"36.16, -82.81",91200
2981,"47.22, -122.54",314000
2982,"37.42, -121.77",888100
2983,"42.66, -71.3",285900
2984,"37.07, -76.51",173600
2985,"40.66, -73.7",401400
2986,"35.06, -85.25",141900
2987,"39.08, -108.55",179600
2988,"40.5, -74.86",373800
2989,"44.65, -93.17",246600
2990,"32.81, -97.27",112300
2991,"35.99, -86.57",153500
2992,"37.55, -77.46",309200
2993,"42.12, -88.27",138300
2994,"32.79, -117.06",574000
2995,"30.52, -89.67",110200
2996,"34.99, -81.23",146200
2997,"43.42, -88.18",211800
2998,"33.81, -117.91",534800
2999,"47.15, -122.56",263400
3000,"44.73, -92.85",231500
3001,"40.65, -73.55",497900
3002,"42.27, -89.06",79600
3003,"44.94, -93.1",220700
3004,"39.76, -104.87",245900
3005,"33.03, -84.98",116800
3006,"43.06, -87.96",131900
3007,"39.37, -76.8",231500
3008,"42.58, -82.81",181500
3009,"42.45, -71.05",523800
3010,"34.23, -118.34",445400
3011,"34.73, -82.25",175400
3012,"36.73, -95.94",122200
3013,"38.11, -122.13",564600
3014,"21.3, -157.85",880400
3015,"38.9, -94.68",316300
3016,"34.08, -118.2",531900
3017,"33.79, -117.78",693100
3018,"39.98, -82.98",328400
3019,"32.84, -97.07",189400
3020,"40.15, -76.59",180700
3021,"40.31, -75.12",370800
3022,"43.41, -83.94",37600
3023,"47.61, -122.34",462200
3024,"41.7, -72.6",308500
3025,"34.83, -82.37",82700
3026,"47.29, -122.62",442000
3027,"36.91, -120.19",200400
3028,"45.36, -122.75",411500
3029,"36.81, -119.75",230900
3030,"39.37, -104.85",345700
3031,"40.63, -75.48",169300
3032,"26.23, -80.13",453800
3033,"29.19, -81.05",86400
3034,"30.17, -85.67",208500
3035,"42.08, -71.38",395400
3036,"33.94, -80.39",117700
3037,"34.31, -118.87",613200
3038,"33.13, -117.3",763800
3039,"29.19, -81.05",181100
3040,"40.43, -79.97",145500
3041,"30.68, -88.04",52300
3042,"28.08, -80.6",132900
3043,"42.28, -71.13",447400
3044,"42.53, -83.78",241300
3045,"35.97, -83.94",193600
3046,"39.98, -82.98",62900
3047,"39.76, -104.87",322900
3048,"40.95, -72.19",1042500
3049,"37.73, -121.24",369000
3050,"28.78, -81.27",138500
3051,"40.02, -105.25",820600
3052,"32.69, -97.12",196800
3053,"42.67, -88.27",186500
3054,"34.85, -92.41",196600
3055,"40.82, -73.68",852600
3056,"27.95, -82.48",242300
3057,"21.3, -157.85",410800
3058,"37.41, -122.13",2303500
3059,"35.66, -80.48",147400
3060,"32.3, -111.16",220300
3061,"32.86, -97.21",230700
3062,"42.74, -71.49",255500
3063,"39.52, -85.77",101600
3064,"38.82, -77.08",375200
3065,"42.8, -73.92",173600
3066,"45.49, -122.77",514300
3067,"43.16, -77.61",98000
3068,"29.76, -95.38",332100
3069,"27.95, -82.48",318000
3070,"33.52, -117.61",662600
3071,"30.26, -97.74",785200
3072,"40.81, -74.15",367200
3073,"32.8, -117.13",524500
3074,"42.16, -88.3",228100
3075,"37.72, -122.41",798200
3076,"38.68, -121.34",235600
3077,"34.97, -116.99",105900
3078,"38.66, -121.37",204300
3079,"33.52, -86.79",138800
3080,"30.44, -91.12",72500
3081,"35.36, -94.38",134600
3082,"41.85, -72.65",192700
3083,"37.72, -121.03",301600
3084,"42.1, -75.91",94000
3085,"28.5, -81.37",228900
3086,"40.85, -74.4",444400
3087,"38.27, -104.62",206100
3088,"38.79, -77.61",447500
3089,"40.27, -76.88",138300
3090,"39.77, -86.14",63100
3091,"33.87, -118.21",340700
3092,"41.92, -88.07",168000
3093,"33.17, -111.57",182700
3094,"40.81, -81.37",108300
3095,"30.39, -86.31",355000
3096,"41.15, -95.92",182600
3097,"30.22, -93.35",158600
3098,"38.94, -77.19",500100
3099,"31.75, -93.09",155300
3100,"39.2, -76.75",329900
3101,"43.34, -73.67",211100
3102,"40.19, -85.39",42400
3103,"34.7, -86.62",160800
3104,"34.12, -118.05",1101400
3105,"27.33, -82.54",322000
3106,"39.5, -84.37",119400
3107,"31.32, -81.53",127900
3108,"36.15, -85.5",146100
3109,"42.72, -87.8",148400
3110,"35.17, -84.86",116800
3111,"42.29, -85.22",112500
3112,"35.17, -84.86",99700
3113,"26.14, -80.13",300700
3114,"40.76, -74.23",188500
3115,"39.49, -86.05",120000
3116,"41.57, -85.83",127100
3117,"29.57, -90.7",206200
3118,"40.02, -105.25",601600
3119,"41.88, -87.97",219300
3120,"32.69, -97.12",132800
3121,"48.42, -122.42",251700
3122,"41.82, -71.41",432600
3123,"30.44, -87.18",54400
3124,"33.66, -84.01",146200
3125,"41.35, -72.1",142900
3126,"39.76, -104.87",396900
3127,"40.75, -86.35",58600
3128,"40.98, -75.19",156200
3129,"42.39, -122.93",225800
3130,"35.0, -80.94",294800
3131,"34.91, -120.23",318600
3132,"31.06, -97.65",167000
3133,"38.86, -104.76",197200
3134,"35.73, -81.32",98200
3135,"40.02, -105.25",506800
3136,"38.64, -121.44",210100
3137,"33.62, -112.13",187400
3138,"40.04, -86.89",110900
3139,"38.95, -77.34",419300
3140,"39.0, -84.58",117600
3141,"32.44, -97.78",152700
3142,"40.55, -111.96",333900
3143,"42.83, -106.32",173700
3144,"30.21, -93.2",135200
3145,"26.19, -97.68",93300
3146,"30.06, -89.93",129600
3147,"42.38, -83.1",37000
3148,"34.05, -118.26",536800
3149,"45.41, -122.72",486100
3150,"35.53, -82.69",212800
3151,"34.26, -88.73",112900
3152,"37.33, -121.77",810500
3153,"34.7, -86.62",134200
3154,"41.79, -88.01",315800
3155,"41.56, -70.55",339700
3156,"40.65, -73.52",446900
3157,"39.9, -74.99",286200
3158,"40.22, -74.93",422000
3159,"42.61, -71.23",361200
3160,"35.92, -86.84",432300
3161,"29.19, -81.05",138900
3162,"28.8, -81.64",180400
3163,"29.18, -82.13",96500
3164,"41.0, -76.45",149500
3165,"39.69, -74.25",253800
3166,"40.71, -73.99",741900
3167,"44.21, -88.43",143200
3168,"42.08, -71.02",227500
3169,"40.21, -75.27",315300
3170,"40.12, -82.91",309400
3171,"39.59, -74.32",182100
3172,"36.79, -119.44",205500
3173,"32.85, -96.96",469200
3174,"41.15, -73.87",364900
3175,"43.59, -83.88",62100
3176,"30.26, -97.74",936200
3177,"41.4, -73.47",274600
3178,"33.24, -111.7",341300
3179,"40.1, -88.2",122200
3180,"44.96, -93.26",244800
3181,"30.44, -91.12",155100
3182,"38.94, -77.19",950900
3183,"27.85, -82.7",143900
3184,"41.71, -71.1",224900
3185,"43.08, -88.25",294500
3186,"33.45, -81.99",75400
3187,"42.46, -83.37",169200
3188,"38.86, -104.76",337900
3189,"41.7, -72.67",239400
3190,"29.76, -95.38",150600
3191,"34.99, -80.86",264700
3192,"47.55, -122.0",623800
3193,"42.28, -71.16",509100
3194,"36.02, -80.38",199600
3195,"38.04, -84.45",105800
3196,"37.5, -122.3",1521400
3197,"42.35, -71.06",966100
3198,"41.83, -87.68",101400
3199,"42.11, -71.1",322000
3200,"39.45, -74.72",156100
3201,"42.57, -70.95",393900
3202,"45.55, -122.56",285300
3203,"40.72, -74.17",170900
3204,"33.8, -111.93",435900
3205,"32.19, -80.74",385500
3206,"38.7, -77.24",430000
3207,"40.48, -81.44",115300
3208,"40.81, -96.68",132000
3209,"42.49, -82.89",114300
3210,"37.25, -121.88",887000
3211,"42.27, -83.73",248000
3212,"34.01, -118.2",372000
3213,"37.81, -122.3",545300
3214,"36.12, -95.91",287400
3215,"40.95, -75.97",65100
3216,"43.6, -116.61",132400
3217,"44.94, -93.1",326700
3218,"20.88, -156.5",517900
3219,"37.91, -122.3",773300
3220,"38.57, -121.46",499600
3221,"34.09, -117.9",437100
3222,"27.84, -82.78",194400
3223,"40.43, -79.97",59000
3224,"45.34, -122.66",479700
3225,"45.32, -122.98",281500
3226,"36.25, -115.08",202900
3227,"37.9, -122.11",1355900
3228,"29.76, -95.38",109400
3229,"32.61, -83.63",68300
3230,"36.06, -115.27",224800
3231,"47.62, -122.14",562300
3232,"42.7, -71.11",469600
3233,"26.52, -80.08",181200
3234,"33.7, -117.19",219300
3235,"33.75, -117.94",527600
3236,"30.64, -97.68",265100
3237,"42.14, -71.51",288800
3238,"35.74, -83.97",143100
3239,"40.82, -74.21",487900
3240,"39.47, -76.63",333500
3241,"38.82, -77.08",465600
3242,"33.89, -84.25",176000
3243,"35.19, -80.83",298000
3244,"33.94, -83.99",183300
3245,"38.92, -121.07",381600
3246,"42.89, -85.72",130200
3247,"38.99, -76.88",155200
3248,"41.87, -71.37",177000
3249,"43.71, -116.18",298600
3250,"26.14, -81.79",282400
3251,"38.75, -93.72",149000
3252,"38.81, -94.53",129300
3253,"38.53, -90.0",138500
3254,"41.97, -88.14",182200
3255,"42.68, -83.12",293500
3256,"36.07, -79.1",221400
3257,"40.65, -112.01",173700
3258,"36.17, -86.78",610600
3259,"32.82, -117.08",584000
3260,"32.19, -80.74",414800
3261,"38.21, -85.23",165600
3262,"32.32, -90.2",47100
3263,"34.19, -111.17",220900
3264,"33.66, -84.01",149400
3265,"36.03, -89.38",82800
3266,"30.92, -88.59",131500
3267,"33.18, -117.24",413800
3268,"40.31, -111.71",213100
3269,"45.3, -122.78",418400
3270,"30.6, -87.34",166300
3271,"47.2, -122.4",198000
3272,"41.15, -111.98",186300
3273,"37.55, -77.46",277800
3274,"36.8, -119.8",211400
3275,"40.81, -111.94",178200
3276,"42.27, -89.06",88800
3277,"33.54, -81.72",82900
3278,"32.49, -114.77",120900
3279,"29.18, -82.13",153400
3280,"34.13, -118.13",601100
3281,"40.02, -111.55",223500
3282,"42.96, -85.65",177700
3283,"38.4, -122.86",806300
3284,"42.45, -87.84",118900
3285,"38.27, -104.62",79000
3286,"37.96, -121.26",143800
3287,"42.21, -83.15",98400
3288,"28.16, -81.6",167500
3289,"33.86, -84.51",237000
3290,"28.82, -96.98",174600
3291,"30.37, -86.22",442100
3292,"36.07, -87.37",135400
3293,"30.68, -88.04",121300
3294,"41.55, -73.03",94600
3295,"43.06, -87.96",149700
3296,"32.53, -82.92",110900
3297,"42.35, -71.06",390900
3298,"38.37, -75.58",150100
3299,"38.87, -77.1",419200
3300,"44.84, -93.45",377900
3301,"47.13, -122.4",236600
3302,"27.75, -82.64",311800
3303,"40.68, -75.22",214400
3304,"31.56, -97.18",118300
3305,"28.59, -81.34",373300
3306,"46.8, -100.76",252200
3307,"38.63, -90.24",59000
3308,"40.87, -73.0",269300
3309,"44.26, -88.39",123700
3310,"34.75, -112.01",190300
3311,"33.77, -118.34",1726000
3312,"39.03, -95.69",79500
3313,"40.43, -79.97",124900
3314,"34.36, -118.47",447700
3315,"40.64, -73.94",839000
3316,"30.15, -96.39",157500
3317,"32.69, -97.12",205700
3318,"42.32, -83.34",96900
3319,"37.91, -122.01",923900
3320,"41.73, -86.13",215800
3321,"41.76, -72.61",153900
3322,"44.96, -93.26",243100
3323,"40.43, -79.97",125700
3324,"42.8, -73.92",150000
3325,"35.39, -118.98",129200
3326,"38.77, -76.06",268300
3327,"29.1, -81.0",160100
3328,"42.45, -83.13",128700
3329,"40.76, -74.21",180500
3330,"32.08, -96.46",100600
3331,"42.66, -83.38",131000
3332,"40.71, -73.99",1028000
3333,"41.37, -71.81",318100
3334,"38.23, -122.29",550400
3335,"35.24, -114.01",128300
3336,"37.91, -122.07",755700
3337,"42.39, -83.37",155900
3338,"37.72, -122.48",956600
3339,"27.75, -82.64",196100
3340,"40.66, -73.61",380400
3341,"33.97, -118.35",368600
3342,"38.37, -81.81",94600
3343,"41.72, -93.6",198900
3344,"38.82, -77.08",437700
3345,"34.72, -92.35",175200
3346,"35.78, -119.23",180900
3347,"31.57, -84.17",82800
3348,"39.95, -86.27",337800
3349,"40.79, -111.82",369300
3350,"41.18, -73.19",165200
3351,"39.09, -76.85",396900
3352,"32.32, -90.2",142900
3353,"35.37, -86.2",122000
3354,"35.1, -90.0",42300
3355,"42.28, -87.96",410700
3356,"39.48, -74.47",158900
3357,"30.66, -96.36",168300
3358,"45.63, -122.52",268700
3359,"28.7, -81.34",303500
3360,"45.64, -122.37",405700
3361,"37.41, -120.5",226500
3362,"33.87, -117.99",508400
3363,"38.63, -90.24",86000
3364,"36.83, -76.29",185400
3365,"40.58, -111.98",244000
3366,"32.79, -96.76",196300
3367,"38.29, -77.48",291200
3368,"32.98, -96.89",278500
3369,"35.92, -79.04",388900
3370,"34.0, -118.03",500400
3371,"44.96, -93.26",335500
3372,"47.3, -122.26",319900
3373,"47.69, -117.19",180700
3374,"36.07, -94.15",175500
3375,"34.7, -86.62",190800
3376,"30.26, -97.74",231200
3377,"34.7, -86.62",200100
3378,"39.76, -104.87",318200
3379,"46.78, -92.11",182600
3380,"40.71, -73.88",671800
3381,"42.55, -71.26",388700
3382,"37.23, -121.95",1525500
3383,"34.06, -117.89",555100
3384,"33.62, -117.25",362500
3385,"36.03, -84.02",149900
3386,"30.17, -85.67",106100
3387,"43.06, -87.96",118800
3388,"32.79, -96.76",117400
3389,"26.14, -81.79",226200
3390,"37.62, -77.35",282200
3391,"32.47, -93.79",161700
3392,"44.94, -93.1",258800
3393,"34.19, -119.23",552600
3394,"47.49, -122.36",376400
3395,"42.46, -83.37",258600
3396,"43.6, -116.54",148100
3397,"40.73, -73.44",382200
3398,"40.74, -89.6",166600
3399,"37.98, -87.54",105700
3400,"40.92, -98.36",121800
3401,"40.88, -85.5",75800
3402,"41.58, -73.4",253300
3403,"37.55, -122.07",904600
3404,"32.43, -111.03",187000
3405,"38.88, -94.52",101800
3406,"47.65, -111.38",180000
3407,"39.95, -104.9",405800
3408,"40.97, -81.4",170400
3409,"42.03, -86.45",167400
3410,"32.79, -96.76",182600
3411,"38.01, -121.38",342700
3412,"41.09, -73.42",403500
3413,"33.95, -84.54",142100
3414,"45.44, -122.52",463100
3415,"25.93, -80.26",186400
3416,"35.79, -78.48",162300
3417,"42.72, -87.8",94900
3418,"47.79, -122.2",494700
3419,"39.16, -86.52",166800
3420,"34.21, -77.91",126100
3421,"25.77, -80.2",357700
3422,"40.18, -75.53",239200
3423,"39.93, -83.19",146600
3424,"35.97, -115.21",268500
3425,"34.83, -82.37",117300
3426,"38.74, -77.48",307500
3427,"40.63, -79.94",260800
3428,"45.54, -122.64",686300
3429,"33.42, -112.27",181400
3430,"33.88, -118.35",500900
3431,"46.07, -119.08",245100
3432,"36.64, -119.91",118900
3433,"37.54, -97.25",167000
3434,"39.77, -86.14",111800
3435,"34.62, -112.42",275300
3436,"39.76, -104.87",372200
3437,"39.77, -86.14",199600
3438,"30.77, -93.24",137000
3439,"38.88, -77.17",305500
3440,"21.3, -157.85",593400
3441,"35.19, -80.83",91000
3442,"39.17, -78.17",223400
3443,"27.29, -81.36",114200
3444,"27.75, -82.64",85600
3445,"39.26, -74.6",510100
3446,"28.5, -81.37",269000
3447,"38.22, -85.74",262400
3448,"33.9, -117.1",333400
3449,"32.89, -97.53",162800
3450,"34.71, -82.46",141100
3451,"42.39, -71.1",588900
3452,"46.71, -120.42",156200
3453,"39.5, -104.76",441100
3454,"41.23, -80.81",66600
3455,"37.31, -121.96",992700
3456,"27.64, -80.39",548300
3457,"35.36, -80.19",108700
3458,"39.09, -94.58",160300
3459,"32.75, -97.77",235400
3460,"34.56, -92.57",115300
3461,"45.49, -122.8",309400
3462,"30.66, -91.15",191000
3463,"26.37, -80.1",394400
3464,"26.81, -80.08",316000
3465,"29.45, -98.5",301600
3466,"39.76, -104.87",484500
3467,"37.55, -77.46",205200
3468,"27.92, -82.29",163600
3469,"41.88, -88.31",321500
3470,"38.99, -76.93",291000
3471,"35.26, -85.17",161400
3472,"42.03, -87.73",220100
3473,"37.89, -122.03",900900
3474,"40.27, -76.88",141200
3475,"38.29, -77.48",257100
3476,"33.44, -94.07",140100
3477,"28.23, -82.17",163100
3478,"27.07, -80.13",273200
3479,"42.9, -85.75",180500
3480,"40.94, -72.67",306900
3481,"42.23, -87.96",311000
3482,"38.67, -87.51",92300
3483,"39.09, -94.58",88700
3484,"41.09, -73.42",324400
3485,"41.66, -83.58",98000
3486,"43.05, -70.78",351200
3487,"41.85, -88.3",278900
3488,"34.07, -117.7",373100
3489,"33.66, -84.01",98200
3490,"30.64, -97.68",193900
3491,"41.83, -87.68",227300
3492,"43.06, -87.96",102000
3493,"34.27, -119.16",525300
3494,"39.09, -76.85",324200
3495,"42.5, -71.06",477600
3496,"39.98, -82.98",74700
3497,"42.47, -83.25",161000
3498,"41.26, -96.01",151200
3499,"42.4, -83.09",53000
3500,"39.95, -75.16",215700
3501,"35.12, -80.71",296000
3502,"33.18, -117.24",508300
3503,"39.82, -105.1",380000
3504,"38.9, -94.68",205900
3505,"34.11, -118.15",1098300
3506,"35.1, -90.0",161700
3507,"42.95, -72.29",160000
3508,"40.71, -111.89",188400
3509,"45.5, -122.69",438400
3510,"34.13, -118.02",1000400
3511,"33.85, -84.28",408300
3512,"39.77, -86.14",181700
3513,"43.63, -116.32",204800
3514,"38.22, -90.4",141500
