,Location,Zhvi
211,"33.71, -84.53",121600
212,"39.14, -77.21",514000
213,"33.86, -84.51",219000
214,"33.64, -117.91",686000
215,"26.14, -80.13",134000
216,"35.59, -77.37",139800
217,"34.1, -84.51",202200
218,"42.42, -71.1",469000
219,"35.85, -86.39",164500
220,"34.0, -118.25",351000
221,"35.11, -106.62",124500
222,"30.33, -81.65",167100
223,"26.02, -80.16",296900
224,"37.04, -76.29",171400
225,"39.95, -75.16",82100
226,"34.04, -118.44",817700
227,"34.06, -84.27",369700
228,"34.12, -118.28",1328500
229,"46.87, -96.81",184500
230,"26.23, -80.13",158600
231,"26.34, -81.78",275900
232,"34.2, -84.13",256700
233,"31.84, -106.43",128000
234,"30.33, -81.65",145400
235,"30.6, -96.31",222000
236,"26.23, -80.13",150500
237,"41.72, -81.24",137100
238,"29.76, -95.38",157800
239,"40.03, -83.14",191900
240,"36.73, -76.04",230500
241,"33.83, -83.89",171100
242,"40.94, -73.86",404600
243,"33.73, -118.29",522900
244,"35.97, -78.52",277100
245,"26.14, -80.13",64100
246,"40.42, -104.74",249000
247,"28.55, -81.75",226900
248,"34.2, -118.54",474400
249,"34.5, -93.05",142000
250,"35.62, -87.04",137200
251,"44.04, -123.22",206600
252,"37.23, -121.82",761300
253,"41.83, -87.68",248000
254,"29.28, -81.06",214600
255,"32.79, -96.76",372400
256,"37.63, -122.04",528800
257,"34.2, -84.13",316500
258,"41.95, -70.66",324800
259,"38.89, -77.03",605000
260,"39.98, -82.98",98500
261,"34.52, -118.08",214700
262,"35.98, -115.11",359200
263,"33.78, -84.44",126200
264,"40.64, -73.94",395700
265,"32.76, -96.59",143200
266,"37.99, -121.81",335000
267,"38.63, -90.24",147000
268,"38.78, -121.37",421500
269,"35.34, -119.07",183500
270,"36.0, -115.14",235600
271,"39.04, -77.48",470000
272,"40.24, -75.28",289200
273,"40.34, -74.44",316100
274,"39.95, -82.79",140000
275,"27.27, -80.35",191400
276,"40.76, -74.03",330900
277,"26.21, -98.23",100600
278,"33.52, -86.79",320400
279,"38.35, -121.93",364300
280,"37.76, -122.48",1147000
281,"33.09, -96.88",248200
282,"33.98, -81.22",185800
283,"33.98, -117.65",440200
284,"35.98, -78.91",212100
285,"37.55, -77.46",126800
286,"41.71, -87.75",170800
287,"40.71, -74.06",675600
288,"41.83, -87.68",265200
289,"34.69, -117.9",201800
290,"41.83, -87.68",389300
291,"30.33, -81.65",201700
292,"34.72, -118.48",290600
293,"35.96, -118.92",164000
294,"36.73, -76.04",382600
295,"36.75, -119.67",216300
296,"35.41, -80.84",256800
297,"42.88, -78.85",218100
298,"39.95, -75.16",84400
299,"42.73, -84.48",178900
300,"35.43, -118.83",178800
301,"28.5, -81.37",259700
302,"41.83, -87.68",176400
303,"42.08, -71.02",244200
304,"40.55, -105.06",349700
305,"26.14, -80.13",160100
306,"39.66, -75.57",170200
307,"33.74, -84.74",146000
308,"38.87, -77.1",470100
309,"40.64, -73.94",800200
310,"39.69, -104.81",344100
311,"38.34, -121.42",338300
312,"40.1, -74.93",237300
313,"33.86, -84.68",165000
314,"42.06, -87.93",293300
315,"39.11, -76.55",291300
316,"35.98, -78.91",191100
317,"39.26, -76.49",134400
318,"39.17, -77.26",279900
319,"40.64, -73.94",743000
320,"26.14, -80.13",90400
321,"33.4, -111.92",241300
322,"42.37, -87.86",98200
323,"36.95, -121.72",492400
324,"30.6, -96.31",168200
325,"26.61, -80.05",267200
326,"36.27, -115.13",192600
327,"37.5, -121.96",771300
328,"35.2, -118.86",152300
329,"32.51, -84.87",79900
330,"41.83, -87.68",167700
331,"34.93, -81.02",129300
332,"25.77, -80.2",262900
333,"47.73, -122.34",457700
334,"37.67, -122.08",528700
335,"34.0, -81.03",115200
336,"35.73, -81.32",135600
337,"40.64, -73.94",888900
338,"28.59, -81.34",199600
339,"33.75, -118.2",320400
340,"32.08, -81.1",149500
341,"38.59, -90.55",240000
342,"37.44, -121.87",836500
343,"32.91, -96.62",163000
344,"32.75, -117.07",451000
345,"32.98, -79.99",158100
346,"43.21, -77.42",184200
347,"36.11, -80.07",155200
348,"38.63, -90.24",215800
349,"32.73, -117.12",530100
350,"32.82, -79.86",406700
351,"30.47, -90.95",150900
352,"38.89, -77.03",286800
353,"40.17, -80.24",142600
354,"33.94, -117.95",530800
355,"41.27, -72.96",172300
356,"33.62, -112.05",237000
357,"36.18, -119.36",175700
358,"40.64, -73.94",459000
359,"33.39, -111.78",183200
360,"33.53, -112.18",122300
361,"33.66, -117.97",754200
362,"36.27, -119.63",179000
363,"33.45, -81.99",132500
364,"34.06, -84.27",384800
365,"33.1, -96.66",272200
366,"42.53, -70.97",370600
367,"37.59, -122.06",714900
368,"33.45, -81.99",62800
369,"33.72, -118.0",681300
370,"38.88, -94.81",204100
371,"32.61, -83.63",116900
372,"33.64, -117.67",645000
373,"37.35, -121.98",1077900
374,"47.68, -122.28",676600
375,"29.67, -82.33",183000
376,"33.46, -111.98",141500
377,"45.32, -122.52",348800
378,"36.17, -115.05",152400
379,"32.79, -96.76",113900
380,"34.1, -117.38",290300
381,"27.92, -82.29",184500
382,"37.67, -120.95",286700
383,"32.35, -86.28",166800
384,"46.19, -123.05",155100
385,"32.56, -117.01",414500
386,"26.92, -80.1",302200
387,"39.98, -82.98",127200
388,"28.56, -81.58",247900
389,"44.06, -123.08",286400
390,"30.33, -81.65",151300
391,"33.0, -80.17",191200
392,"26.74, -80.12",335500
393,"35.98, -78.91",234700
394,"35.98, -86.51",178800
395,"39.81, -76.98",159000
396,"39.16, -76.6",240500
397,"37.3, -122.09",1757100
398,"47.78, -117.45",215200
399,"33.57, -112.25",170800
400,"36.12, -95.91",179500
401,"38.6, -121.26",271800
402,"32.73, -117.08",378500
403,"39.61, -86.11",151300
404,"45.67, -122.47",261000
405,"41.87, -88.01",239900
406,"39.39, -84.56",129700
407,"30.45, -84.28",126600
408,"33.49, -111.92",263300
409,"40.2, -74.78",346200
410,"39.08, -77.15",389000
411,"33.95, -84.54",224200
412,"39.95, -75.16",54500
413,"31.84, -106.43",88100
414,"33.45, -84.14",154900
415,"41.83, -87.68",145500
416,"35.19, -80.83",282200
417,"34.35, -89.52",185200
418,"37.65, -122.42",827800
419,"35.19, -80.83",133700
420,"33.14, -96.81",337300
421,"29.88, -90.11",128400
422,"36.36, -94.2",189100
423,"26.37, -80.1",262300
